op;max_error;core_type;hash;size;flops;mean;dev;sum;sum2;n
strsm;20;0;9a2d19a7;8388608;0.000000e+00;3.001841e+04;9.305925e+02;3.602209e+05;1.082365e+10;12
strsm;20;0;9a2d19a7;8388608;0.000000e+00;3.020267e+04;1.263326e+03;3.926348e+05;1.187937e+10;13
strsm;20;0;9a2d19a7;8388608;0.000000e+00;3.015977e+04;9.985190e+02;4.222368e+05;1.274852e+10;14
strsm;20;0;9a2d19a7;8388608;0.000000e+00;3.009405e+04;9.987438e+02;3.912226e+05;1.178644e+10;13
strsm;20;0;9a2d19a7;8388608;0.000000e+00;2.998795e+04;6.983988e+02;3.898433e+05;1.169694e+10;13
sgemm;30;1;0b0dbeb1;12582912;0.000000e+00;4.886357e+01;6.157037e+00;2.805551e+06;1.392658e+08;57416
sgemm;30;1;0b0dbeb1;12582912;0.000000e+00;4.886357e+01;6.157037e+00;2.805551e+06;1.392658e+08;57416
sgemm;30;0;0b0dbeb1;12582912;0.000000e+00;2.326566e+04;7.104887e+02;1.372674e+06;3.196595e+10;59
sgemm;30;0;0b0dbeb1;12582912;0.000000e+00;2.304773e+04;4.975984e+02;1.405911e+06;3.241817e+10;61
sgemm;30;0;0b0dbeb1;12582912;0.000000e+00;2.298607e+04;5.431304e+02;1.471109e+06;3.383389e+10;64
sgemm;30;0;0b0dbeb1;12582912;0.000000e+00;2.294407e+04;4.534142e+02;1.560197e+06;3.581126e+10;68
sgemm;30;0;0b0dbeb1;12582912;0.000000e+00;2.311157e+04;4.955799e+02;1.409806e+06;3.259780e+10;61
sgemm;30;0;0b0dbeb1;12582912;0.000000e+00;2.320400e+04;6.632626e+02;1.415444e+06;3.287080e+10;61
sgemm;30;0;0b0dbeb1;12582912;0.000000e+00;2.303481e+04;5.606614e+02;1.451193e+06;3.344776e+10;63
sgemm;30;0;0b0dbeb1;12582912;0.000000e+00;5.763976e+04;1.045381e+03;2.363230e+06;1.362608e+11;41
sgemm;30;0;0b0dbeb1;12582912;0.000000e+00;5.677872e+04;2.809475e+03;2.384706e+06;1.357321e+11;42
sgemm;30;0;0b0dbeb1;12582912;0.000000e+00;5.776282e+04;7.845786e+02;2.310513e+06;1.334864e+11;40
sgemm;30;0;0b0dbeb1;12582912;0.000000e+00;5.785670e+04;7.041698e+02;2.314268e+06;1.339158e+11;40
sgemm;30;0;0b0dbeb1;12582912;0.000000e+00;5.731801e+04;1.669688e+03;2.350038e+06;1.348138e+11;41
sgemm;30;0;0b0dbeb1;12582912;0.000000e+00;5.720117e+04;1.864288e+03;2.345248e+06;1.342934e+11;41
sgemm;30;0;0b0dbeb1;12582912;0.000000e+00;5.774111e+04;5.558842e+02;2.309644e+06;1.333738e+11;40
sgemm;30;0;0b0dbeb1;12582912;0.000000e+00;5.716105e+04;1.702014e+03;2.343603e+06;1.340816e+11;41
sgemm;30;0;0b0dbeb1;12582912;0.000000e+00;5.789291e+04;8.929114e+02;2.199930e+06;1.273907e+11;38
sgemm;30;0;0b0dbeb1;12582912;0.000000e+00;5.780667e+04;6.544519e+02;2.254460e+06;1.303395e+11;39
sgemm;30;0;0b0dbeb1;12582912;0.000000e+00;5.776584e+04;6.582220e+02;2.195102e+06;1.268183e+11;38
sgemm;30;0;0b0dbeb1;12582912;0.000000e+00;5.790392e+04;7.173085e+02;2.200349e+06;1.274284e+11;38
sgemm;30;0;0b0dbeb1;12582912;0.000000e+00;5.783321e+04;5.406000e+02;2.197662e+06;1.271090e+11;38
sgemm;30;0;0b0dbeb1;12582912;0.000000e+00;5.793020e+04;8.268348e+02;2.259278e+06;1.309071e+11;39
sgemm;30;0;0b0dbeb1;12582912;0.000000e+00;5.784117e+04;8.772969e+02;2.255806e+06;1.305084e+11;39
sgemm;30;0;0b0dbeb1;12582912;0.000000e+00;5.794746e+04;9.069268e+02;2.259951e+06;1.309905e+11;39
sgetrf_nopiv;30;0;aa6d4ef7;4194304;0.000000e+00;9.309400e+03;1.156600e+02;9.309400e+04;8.667830e+08;10
sgetrf_nopiv;30;0;aa6d4ef7;4194304;0.000000e+00;9.309400e+03;1.156600e+02;9.309400e+04;8.667830e+08;10
sgetrf_nopiv;30;0;aa6d4ef7;4194304;0.000000e+00;9.045372e+03;1.858468e+01;9.045372e+04;8.181911e+08;10
sgetrf_nopiv;30;0;aa6d4ef7;4194304;0.000000e+00;9.239851e+03;2.780208e+02;9.239851e+04;8.545214e+08;10
sgetrf_nopiv;30;0;aa6d4ef7;4194304;0.000000e+00;9.074189e+03;5.048588e+01;9.074189e+04;8.234345e+08;10
sgetrf_nopiv;30;0;aa6d4ef7;4194304;0.000000e+00;1.955652e+04;2.507665e+02;1.955652e+05;3.825205e+09;10
sgetrf_nopiv;30;0;aa6d4ef7;4194304;0.000000e+00;1.946121e+04;1.130526e+02;1.946121e+05;3.787516e+09;10
sgetrf_nopiv;30;0;aa6d4ef7;4194304;0.000000e+00;9.052487e+03;1.356727e+01;9.052487e+04;8.194770e+08;10
sgetrf_nopiv;30;0;aa6d4ef7;4194304;0.000000e+00;9.060154e+03;1.141030e+02;9.060154e+04;8.209940e+08;10
sgetrf_nopiv;30;0;aa6d4ef7;4194304;0.000000e+00;9.019225e+03;2.068222e+01;9.019225e+04;8.134684e+08;10
sgetrf_nopiv;30;0;aa6d4ef7;4194304;0.000000e+00;1.935014e+04;1.247062e+02;1.935014e+05;3.744434e+09;10
sgetrf_nopiv;30;0;aa6d4ef7;4194304;0.000000e+00;1.924493e+04;3.857976e+00;1.924493e+05;3.703672e+09;10
sgetrf_nopiv;30;0;aa6d4ef7;4194304;0.000000e+00;1.936450e+04;1.794605e+02;1.936450e+05;3.750159e+09;10
sgetrf_nopiv;30;0;aa6d4ef7;4194304;0.000000e+00;1.930534e+04;8.595623e+01;1.930534e+05;3.727036e+09;10
sgetrf_nopiv;30;0;aa6d4ef7;4194304;0.000000e+00;1.924229e+04;2.788517e+00;1.924229e+05;3.702657e+09;10
sgetrf_nopiv;30;0;aa6d4ef7;4194304;0.000000e+00;1.937505e+04;1.713473e+02;1.937505e+05;3.754220e+09;10
sgetrf_nopiv;30;0;aa6d4ef7;4194304;0.000000e+00;1.927491e+04;5.342844e+01;1.927491e+05;3.715251e+09;10
sgetrf_nopiv;30;0;aa6d4ef7;4194304;0.000000e+00;1.924766e+04;3.567748e+00;1.924766e+05;3.704723e+09;10
sgetrf_nopiv;30;0;aa6d4ef7;4194304;0.000000e+00;1.924716e+04;2.447607e+00;7.698863e+04;1.481812e+09;4
splgsy;30;0;aa6d4ef7;4194304;0.000000e+00;4.872943e+03;5.881763e+02;3.995813e+05;1.975505e+09;82
splgsy;30;0;aa6d4ef7;4194304;0.000000e+00;4.872943e+03;5.881763e+02;3.995813e+05;1.975505e+09;82
splgsy;30;0;aa6d4ef7;4194304;0.000000e+00;4.839706e+03;4.857794e+02;4.016956e+05;1.963675e+09;83
splgsy;30;0;aa6d4ef7;4194304;0.000000e+00;4.802127e+03;4.831307e+02;3.985765e+05;1.933388e+09;83
splgsy;30;0;aa6d4ef7;4194304;0.000000e+00;4.811715e+03;5.131249e+02;3.993724e+05;1.943520e+09;83
splgsy;30;0;aa6d4ef7;4194304;0.000000e+00;4.807672e+03;4.799983e+02;3.990367e+05;1.937561e+09;83
splgsy;30;0;aa6d4ef7;4194304;0.000000e+00;4.809834e+03;4.819312e+02;3.992162e+05;1.939441e+09;83
splgsy;30;0;aa6d4ef7;4194304;0.000000e+00;4.854773e+03;5.429061e+02;3.980914e+05;1.956813e+09;82
splgsy;30;0;aa6d4ef7;4194304;0.000000e+00;5.535337e+03;8.156068e+00;6.642404e+04;3.676802e+08;12
splgsy;30;0;aa6d4ef7;4194304;0.000000e+00;6.154888e+03;4.480367e+02;4.308422e+05;2.665837e+09;70
splgsy;30;0;aa6d4ef7;4194304;0.000000e+00;8.630436e+03;9.108541e+02;3.711087e+05;3.238505e+09;43
splgsy;30;0;aa6d4ef7;4194304;0.000000e+00;8.797530e+03;9.653211e+02;3.079135e+05;2.741493e+09;35
splgsy;30;0;aa6d4ef7;4194304;0.000000e+00;6.132983e+03;4.873105e+02;4.415748e+05;2.725268e+09;72
splgsy;30;0;aa6d4ef7;4194304;0.000000e+00;5.534905e+03;9.780358e+00;8.855847e+04;4.901642e+08;16
splgsy;30;0;aa6d4ef7;4194304;0.000000e+00;5.539751e+03;1.410008e+01;8.309626e+04;4.603355e+08;15
splgsy;30;0;aa6d4ef7;4194304;0.000000e+00;5.685663e+03;1.317450e+02;4.264247e+05;2.425809e+09;75
splgsy;30;0;aa6d4ef7;4194304;0.000000e+00;6.110115e+03;4.701020e+02;4.765890e+05;2.929251e+09;78
splgsy;30;0;aa6d4ef7;4194304;0.000000e+00;6.110609e+03;4.517313e+02;4.521850e+05;2.778226e+09;74
