Id;Function;threads;gpus;P;Q;mtxfmt;nb;uplo;n;lda;seedA;tsub;time;gflops
0;dpotrf;24;0;1;1;0;320;121;32768;32768;846930886;0.000000e+00;2.021096e+01;5.803118e+02
0;dpotrf;24;0;1;1;0;600;121;32768;32768;846930886;0.000000e+00;2.049496e+01;5.722704e+02
0;dpotrf;8;0;1;1;0;256;121;32768;32768;846930886;0.000000e+00;3.482729e+01;3.367664e+02
0;dpotrf;8;0;1;1;0;128;121;32768;32768;846930886;0.000000e+00;6.274303e+01;1.869317e+02
0;dpotrf;24;0;1;1;0;128;121;32768;32768;846930886;0.000000e+00;2.998464e+01;3.911556e+02
0;dpotrf;8;0;1;1;0;128;121;32768;32768;846930886;0.000000e+00;6.205918e+01;1.889916e+02
0;dpotrf;8;0;1;1;0;320;121;32768;32768;846930886;0.000000e+00;3.445316e+01;3.404233e+02
0;dpotrf;24;0;1;1;0;800;121;32768;32768;846930886;0.000000e+00;2.009434e+01;5.836799e+02
0;dpotrf;8;0;1;1;0;256;121;32768;32768;846930886;0.000000e+00;3.482237e+01;3.368140e+02
0;dpotrf;24;0;1;1;0;2048;121;32768;32768;846930886;0.000000e+00;2.298239e+01;5.103326e+02
0;dpotrf;8;0;1;1;0;1024;121;32768;32768;846930886;0.000000e+00;3.189410e+01;3.677377e+02
0;dpotrf;24;0;1;1;0;1750;121;32768;32768;846930886;0.000000e+00;2.161689e+01;5.425694e+02
0;dpotrf;24;0;1;1;0;2048;121;32768;32768;846930886;0.000000e+00;2.415112e+01;4.856362e+02
0;dpotrf;24;0;1;1;0;320;121;32768;32768;846930886;0.000000e+00;2.016199e+01;5.817215e+02
0;dpotrf;8;0;1;1;0;1024;121;32768;32768;846930886;0.000000e+00;3.192416e+01;3.673913e+02
0;dpotrf;24;0;1;1;0;1024;121;32768;32768;846930886;0.000000e+00;1.907819e+01;6.147680e+02
0;dpotrf;8;0;1;1;0;512;121;32768;32768;846930886;0.000000e+00;3.263754e+01;3.593611e+02
0;dpotrf;8;0;1;1;0;1500;121;32768;32768;846930886;0.000000e+00;3.183022e+01;3.684757e+02
0;dpotrf;24;0;1;1;0;128;121;32768;32768;846930886;0.000000e+00;2.992487e+01;3.919369e+02
0;dpotrf;8;0;1;1;0;1750;121;32768;32768;846930886;0.000000e+00;3.208188e+01;3.655853e+02
0;dpotrf;24;0;1;1;0;400;121;32768;32768;846930886;0.000000e+00;1.968552e+01;5.958014e+02
0;dpotrf;8;0;1;1;0;800;121;32768;32768;846930886;0.000000e+00;3.233347e+01;3.627406e+02
0;dpotrf;24;0;1;1;0;1500;121;32768;32768;846930886;0.000000e+00;2.001447e+01;5.860092e+02
0;dpotrf;8;0;1;1;0;600;121;32768;32768;846930886;0.000000e+00;3.265513e+01;3.591675e+02
0;dpotrf;8;0;1;1;0;1500;121;32768;32768;846930886;0.000000e+00;3.171922e+01;3.697651e+02
0;dpotrf;8;0;1;1;0;1250;121;32768;32768;846930886;0.000000e+00;3.185521e+01;3.681865e+02
0;dpotrf;8;0;1;1;0;400;121;32768;32768;846930886;0.000000e+00;3.344385e+01;3.506971e+02
0;dpotrf;24;0;1;1;0;256;121;32768;32768;846930886;0.000000e+00;1.996849e+01;5.873585e+02
0;dpotrf;24;0;1;1;0;512;121;32768;32768;846930886;0.000000e+00;1.859995e+01;6.305748e+02
0;dpotrf;24;0;1;1;0;800;121;32768;32768;846930886;0.000000e+00;2.017654e+01;5.813020e+02
0;dpotrf;24;0;1;1;0;2048;121;32768;32768;846930886;0.000000e+00;2.483669e+01;4.722313e+02
0;dpotrf;24;0;1;1;0;256;121;32768;32768;846930886;0.000000e+00;1.990391e+01;5.892641e+02
0;dpotrf;24;0;1;1;0;1500;121;32768;32768;846930886;0.000000e+00;2.040968e+01;5.746617e+02
0;dpotrf;8;0;1;1;0;2048;121;32768;32768;846930886;0.000000e+00;3.260378e+01;3.597332e+02
0;dpotrf;8;0;1;1;0;1250;121;32768;32768;846930886;0.000000e+00;3.188320e+01;3.678634e+02
0;dpotrf;24;0;1;1;0;800;121;32768;32768;846930886;0.000000e+00;2.019416e+01;5.807947e+02
0;dpotrf;8;0;1;1;0;1250;121;32768;32768;846930886;0.000000e+00;3.187342e+01;3.679762e+02
0;dpotrf;8;0;1;1;0;512;121;32768;32768;846930886;0.000000e+00;3.264089e+01;3.593241e+02
0;dpotrf;8;0;1;1;0;600;121;32768;32768;846930886;0.000000e+00;3.260199e+01;3.597530e+02
0;dpotrf;8;0;1;1;0;512;121;32768;32768;846930886;0.000000e+00;3.265087e+01;3.592143e+02
0;dpotrf;8;0;1;1;0;800;121;32768;32768;846930886;0.000000e+00;3.233980e+01;3.626695e+02
0;dpotrf;24;0;1;1;0;1024;121;32768;32768;846930886;0.000000e+00;1.893757e+01;6.193329e+02
0;dpotrf;24;0;1;1;0;512;121;32768;32768;846930886;0.000000e+00;1.919641e+01;6.109818e+02
0;dpotrf;24;0;1;1;0;2048;121;32768;32768;846930886;0.000000e+00;2.440903e+01;4.805050e+02
0;dpotrf;8;0;1;1;0;1250;121;32768;32768;846930886;0.000000e+00;3.197437e+01;3.668145e+02
0;dpotrf;24;0;1;1;0;1024;121;32768;32768;846930886;0.000000e+00;1.903503e+01;6.161620e+02
0;dpotrf;8;0;1;1;0;1750;121;32768;32768;846930886;0.000000e+00;3.210095e+01;3.653680e+02
0;dpotrf;8;0;1;1;0;128;121;32768;32768;846930886;0.000000e+00;6.206329e+01;1.889790e+02
0;dpotrf;8;0;1;1;0;1500;121;32768;32768;846930886;0.000000e+00;3.170088e+01;3.699790e+02
0;dpotrf;24;0;1;1;0;600;121;32768;32768;846930886;0.000000e+00;2.062904e+01;5.685510e+02
0;dpotrf;24;0;1;1;0;800;121;32768;32768;846930886;0.000000e+00;2.016370e+01;5.816720e+02
0;dpotrf;24;0;1;1;0;512;121;32768;32768;846930886;0.000000e+00;1.869132e+01;6.274924e+02
0;dpotrf;24;0;1;1;0;1024;121;32768;32768;846930886;0.000000e+00;1.887060e+01;6.215309e+02
0;dpotrf;8;0;1;1;0;600;121;32768;32768;846930886;0.000000e+00;3.266344e+01;3.590761e+02
0;dpotrf;24;0;1;1;0;600;121;32768;32768;846930886;0.000000e+00;2.078964e+01;5.641588e+02
0;dpotrf;24;0;1;1;0;1250;121;32768;32768;846930886;0.000000e+00;1.960328e+01;5.983010e+02
0;dpotrf;24;0;1;1;0;1750;121;32768;32768;846930886;0.000000e+00;2.068834e+01;5.669213e+02
0;dpotrf;24;0;1;1;0;1500;121;32768;32768;846930886;0.000000e+00;2.056020e+01;5.704546e+02
0;dpotrf;24;0;1;1;0;256;121;32768;32768;846930886;0.000000e+00;1.988879e+01;5.897121e+02
0;dpotrf;24;0;1;1;0;320;121;32768;32768;846930886;0.000000e+00;2.003645e+01;5.853663e+02
0;dpotrf;24;0;1;1;0;800;121;32768;32768;846930886;0.000000e+00;2.025553e+01;5.790350e+02
0;dpotrf;8;0;1;1;0;1024;121;32768;32768;846930886;0.000000e+00;3.192764e+01;3.673513e+02
0;dpotrf;8;0;1;1;0;600;121;32768;32768;846930886;0.000000e+00;3.263991e+01;3.593350e+02
0;dpotrf;8;0;1;1;0;2048;121;32768;32768;846930886;0.000000e+00;3.251445e+01;3.607215e+02
0;dpotrf;24;0;1;1;0;128;121;32768;32768;846930886;0.000000e+00;2.986191e+01;3.927632e+02
0;dpotrf;8;0;1;1;0;800;121;32768;32768;846930886;0.000000e+00;3.229870e+01;3.631311e+02
0;dpotrf;8;0;1;1;0;320;121;32768;32768;846930886;0.000000e+00;3.444439e+01;3.405101e+02
0;dpotrf;24;0;1;1;0;1250;121;32768;32768;846930886;0.000000e+00;1.959924e+01;5.984243e+02
0;dpotrf;8;0;1;1;0;800;121;32768;32768;846930886;0.000000e+00;3.231450e+01;3.629535e+02
0;dpotrf;8;0;1;1;0;320;121;32768;32768;846930886;0.000000e+00;3.444628e+01;3.404914e+02
0;dpotrf;24;0;1;1;0;320;121;32768;32768;846930886;0.000000e+00;2.007094e+01;5.843603e+02
0;dpotrf;24;0;1;1;0;1500;121;32768;32768;846930886;0.000000e+00;2.023069e+01;5.797458e+02
0;dpotrf;24;0;1;1;0;1250;121;32768;32768;846930886;0.000000e+00;1.958197e+01;5.989522e+02
0;dpotrf;8;0;1;1;0;800;121;32768;32768;846930886;0.000000e+00;3.233382e+01;3.627367e+02
0;dpotrf;8;0;1;1;0;128;121;32768;32768;846930886;0.000000e+00;6.212590e+01;1.887886e+02
0;dpotrf;8;0;1;1;0;1750;121;32768;32768;846930886;0.000000e+00;3.216581e+01;3.646313e+02
0;dpotrf;8;0;1;1;0;1750;121;32768;32768;846930886;0.000000e+00;3.208866e+01;3.655080e+02
0;dpotrf;24;0;1;1;0;512;121;32768;32768;846930886;0.000000e+00;1.862218e+01;6.298221e+02
0;dpotrf;24;0;1;1;0;600;121;32768;32768;846930886;0.000000e+00;2.057402e+01;5.700716e+02
0;dpotrf;8;0;1;1;0;256;121;32768;32768;846930886;0.000000e+00;3.483587e+01;3.366834e+02
0;dpotrf;8;0;1;1;0;400;121;32768;32768;846930886;0.000000e+00;3.349050e+01;3.502086e+02
0;dpotrf;24;0;1;1;0;400;121;32768;32768;846930886;0.000000e+00;1.984256e+01;5.910862e+02
0;dpotrf;8;0;1;1;0;2048;121;32768;32768;846930886;0.000000e+00;3.263362e+01;3.594042e+02
0;dpotrf;24;0;1;1;0;128;121;32768;32768;846930886;0.000000e+00;2.969111e+01;3.950226e+02
0;dpotrf;8;0;1;1;0;600;121;32768;32768;846930886;0.000000e+00;3.267951e+01;3.588996e+02
0;dpotrf;8;0;1;1;0;320;121;32768;32768;846930886;0.000000e+00;3.444693e+01;3.404850e+02
0;dpotrf;8;0;1;1;0;400;121;32768;32768;846930886;0.000000e+00;3.346859e+01;3.504379e+02
0;dpotrf;8;0;1;1;0;256;121;32768;32768;846930886;0.000000e+00;3.482783e+01;3.367612e+02
0;dpotrf;8;0;1;1;0;600;121;32768;32768;846930886;0.000000e+00;3.265463e+01;3.591730e+02
0;dpotrf;8;0;1;1;0;256;121;32768;32768;846930886;0.000000e+00;3.482924e+01;3.367476e+02
0;dpotrf;24;0;1;1;0;128;121;32768;32768;846930886;0.000000e+00;3.007865e+01;3.899331e+02
0;dpotrf;24;0;1;1;0;512;121;32768;32768;846930886;0.000000e+00;1.882988e+01;6.228750e+02
0;dpotrf;8;0;1;1;0;1750;121;32768;32768;846930886;0.000000e+00;3.214712e+01;3.648433e+02
0;dpotrf;8;0;1;1;0;2048;121;32768;32768;846930886;0.000000e+00;3.250553e+01;3.608205e+02
0;dpotrf;24;0;1;1;0;1500;121;32768;32768;846930886;0.000000e+00;2.049822e+01;5.721796e+02
0;dpotrf;8;0;1;1;0;1024;121;32768;32768;846930886;0.000000e+00;3.190073e+01;3.676612e+02
0;dpotrf;8;0;1;1;0;1024;121;32768;32768;846930886;0.000000e+00;3.190654e+01;3.675943e+02
0;dpotrf;24;0;1;1;0;1500;121;32768;32768;846930886;0.000000e+00;2.038323e+01;5.754073e+02
0;dpotrf;8;0;1;1;0;512;121;32768;32768;846930886;0.000000e+00;3.266883e+01;3.590169e+02
0;dpotrf;24;0;1;1;0;512;121;32768;32768;846930886;0.000000e+00;1.892166e+01;6.198537e+02
0;dpotrf;24;0;1;1;0;400;121;32768;32768;846930886;0.000000e+00;1.971712e+01;5.948466e+02
0;dpotrf;24;0;1;1;0;400;121;32768;32768;846930886;0.000000e+00;2.002173e+01;5.857965e+02
0;dpotrf;24;0;1;1;0;400;121;32768;32768;846930886;0.000000e+00;1.979890e+01;5.923896e+02
0;dpotrf;8;0;1;1;0;320;121;32768;32768;846930886;0.000000e+00;3.444627e+01;3.404914e+02
0;dpotrf;8;0;1;1;0;2048;121;32768;32768;846930886;0.000000e+00;3.260714e+01;3.596961e+02
0;dpotrf;8;0;1;1;0;1500;121;32768;32768;846930886;0.000000e+00;3.174169e+01;3.695034e+02
0;dpotrf;8;0;1;1;0;512;121;32768;32768;846930886;0.000000e+00;3.261630e+01;3.595951e+02
0;dpotrf;8;0;1;1;0;2048;121;32768;32768;846930886;0.000000e+00;3.257023e+01;3.601037e+02
0;dpotrf;24;0;1;1;0;1250;121;32768;32768;846930886;0.000000e+00;1.952527e+01;6.006914e+02
0;dpotrf;24;0;1;1;0;256;121;32768;32768;846930886;0.000000e+00;1.999602e+01;5.865497e+02
0;dpotrf;24;0;1;1;0;600;121;32768;32768;846930886;0.000000e+00;2.083044e+01;5.630539e+02
0;dpotrf;8;0;1;1;0;128;121;32768;32768;846930886;0.000000e+00;6.199605e+01;1.891840e+02
0;dpotrf;8;0;1;1;0;256;121;32768;32768;846930886;0.000000e+00;3.484016e+01;3.366420e+02
0;dpotrf;8;0;1;1;0;512;121;32768;32768;846930886;0.000000e+00;3.265248e+01;3.591966e+02
0;dpotrf;8;0;1;1;0;400;121;32768;32768;846930886;0.000000e+00;3.346809e+01;3.504430e+02
0;dpotrf;24;0;1;1;0;1250;121;32768;32768;846930886;0.000000e+00;1.952829e+01;6.005984e+02
0;dpotrf;8;0;1;1;0;128;121;32768;32768;846930886;0.000000e+00;6.204383e+01;1.890383e+02
0;dpotrf;24;0;1;1;0;1024;121;32768;32768;846930886;0.000000e+00;1.900469e+01;6.171456e+02
0;dpotrf;24;0;1;1;0;1750;121;32768;32768;846930886;0.000000e+00;2.201326e+01;5.327997e+02
0;dpotrf;8;0;1;1;0;400;121;32768;32768;846930886;0.000000e+00;3.347201e+01;3.504021e+02
0;dpotrf;24;0;1;1;0;1750;121;32768;32768;846930886;0.000000e+00;2.200855e+01;5.329138e+02
0;dpotrf;24;0;1;1;0;320;121;32768;32768;846930886;0.000000e+00;2.022165e+01;5.800051e+02
0;dpotrf;24;0;1;1;0;256;121;32768;32768;846930886;0.000000e+00;1.988168e+01;5.899232e+02
