Id;Function;threads;gpus;P;Q;mtxfmt;nb;m;n;lda;seedA;bump;tsub;time;gflops;mode
0;sgetrf_nopiv;24;0;1;1;0;512;32768;32768;32768;846930886;0.000000e+00;0.000000e+00;1.835972e+01;1.277564e+03;homo
0;sgetrf_nopiv;24;0;1;1;0;512;32768;32768;32768;846930886;0.000000e+00;0.000000e+00;1.843960e+01;1.272029e+03;hetero
0;dgetrf_nopiv;24;0;1;1;0;2048;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;4.153418e+01;5.647327e+02;homo
0;dgetrf_nopiv;24;0;1;1;0;1024;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;3.710824e+01;6.320890e+02;homo
0;sgetrf_nopiv;24;0;1;1;0;2048;32768;32768;32768;846930886;0.000000e+00;0.000000e+00;1.863169e+01;1.258915e+03;hetero
0;dgetrf_nopiv;24;0;1;1;0;1024;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;3.692954e+01;6.351476e+02;hetero
0;sgetrf_nopiv;24;0;1;1;0;1024;32768;32768;32768;846930886;0.000000e+00;0.000000e+00;1.856606e+01;1.263365e+03;hetero
0;sgetrf_nopiv;24;0;1;1;0;512;32768;32768;32768;846930886;0.000000e+00;0.000000e+00;1.852499e+01;1.266166e+03;hetero
0;dgetrf_nopiv;24;0;1;1;0;2048;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;3.805244e+01;6.164050e+02;hetero
0;sgetrf_nopiv;24;0;1;1;0;1024;32768;32768;32768;846930886;0.000000e+00;0.000000e+00;1.857178e+01;1.262976e+03;homo
0;sgetrf_nopiv;24;0;1;1;0;2048;32768;32768;32768;846930886;0.000000e+00;0.000000e+00;2.074527e+01;1.130654e+03;homo
0;sgetrf_nopiv;24;0;1;1;0;2048;32768;32768;32768;846930886;0.000000e+00;0.000000e+00;1.872180e+01;1.252856e+03;hetero
0;sgetrf_nopiv;24;0;1;1;0;2048;32768;32768;32768;846930886;0.000000e+00;0.000000e+00;1.865241e+01;1.257516e+03;hetero
0;dgetrf_nopiv;24;0;1;1;0;1024;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;3.708280e+01;6.325227e+02;homo
0;sgetrf_nopiv;24;0;1;1;0;2048;32768;32768;32768;846930886;0.000000e+00;0.000000e+00;2.079399e+01;1.128004e+03;homo
0;sgetrf_nopiv;24;0;1;1;0;2048;32768;32768;32768;846930886;0.000000e+00;0.000000e+00;1.888046e+01;1.242327e+03;hetero
0;dgetrf_nopiv;24;0;1;1;0;1024;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;3.676473e+01;6.379949e+02;hetero
0;dgetrf_nopiv;24;0;1;1;0;2048;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;3.786032e+01;6.195329e+02;hetero
0;dgetrf_nopiv;24;0;1;1;0;512;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;3.709582e+01;6.323006e+02;hetero
0;dgetrf_nopiv;24;0;1;1;0;2048;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;4.159952e+01;5.638457e+02;homo
0;sgetrf_nopiv;24;0;1;1;0;512;32768;32768;32768;846930886;0.000000e+00;0.000000e+00;1.836005e+01;1.277541e+03;homo
0;sgetrf_nopiv;24;0;1;1;0;2048;32768;32768;32768;846930886;0.000000e+00;0.000000e+00;2.089649e+01;1.122472e+03;homo
0;dgetrf_nopiv;24;0;1;1;0;512;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;3.709995e+01;6.322303e+02;homo
0;dgetrf_nopiv;24;0;1;1;0;512;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;3.716393e+01;6.311418e+02;homo
0;dgetrf_nopiv;24;0;1;1;0;1024;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;3.704201e+01;6.332191e+02;homo
0;sgetrf_nopiv;24;0;1;1;0;1024;32768;32768;32768;846930886;0.000000e+00;0.000000e+00;1.845792e+01;1.270767e+03;homo
0;dgetrf_nopiv;24;0;1;1;0;2048;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;4.213775e+01;5.566437e+02;homo
0;sgetrf_nopiv;24;0;1;1;0;1024;32768;32768;32768;846930886;0.000000e+00;0.000000e+00;1.845806e+01;1.270757e+03;hetero
0;dgetrf_nopiv;24;0;1;1;0;1024;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;3.658968e+01;6.410471e+02;hetero
0;sgetrf_nopiv;24;0;1;1;0;512;32768;32768;32768;846930886;0.000000e+00;0.000000e+00;1.844236e+01;1.271839e+03;hetero
0;sgetrf_nopiv;24;0;1;1;0;1024;32768;32768;32768;846930886;0.000000e+00;0.000000e+00;1.858667e+01;1.261964e+03;homo
0;dgetrf_nopiv;24;0;1;1;0;512;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;3.708966e+01;6.324056e+02;hetero
0;dgetrf_nopiv;24;0;1;1;0;512;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;3.706540e+01;6.328195e+02;hetero
0;sgetrf_nopiv;24;0;1;1;0;1024;32768;32768;32768;846930886;0.000000e+00;0.000000e+00;1.850385e+01;1.267612e+03;homo
0;dgetrf_nopiv;24;0;1;1;0;512;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;3.713110e+01;6.316999e+02;homo
0;dgetrf_nopiv;24;0;1;1;0;512;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;3.698334e+01;6.342238e+02;homo
0;sgetrf_nopiv;24;0;1;1;0;2048;32768;32768;32768;846930886;0.000000e+00;0.000000e+00;2.094717e+01;1.119756e+03;homo
0;sgetrf_nopiv;24;0;1;1;0;1024;32768;32768;32768;846930886;0.000000e+00;0.000000e+00;1.845586e+01;1.270909e+03;hetero
0;dgetrf_nopiv;24;0;1;1;0;2048;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;4.165460e+01;5.631002e+02;homo
0;dgetrf_nopiv;24;0;1;1;0;2048;32768;32768;32768;846930886;3.276800e+04;0.000000e+00;3.784007e+01;6.198644e+02;hetero
0;sgetrf_nopiv;24;0;1;1;0;512;32768;32768;32768;846930886;0.000000e+00;0.000000e+00;1.836009e+01;1.277538e+03;homo
