Id;Function;threads;gpus;P;Q;mtxfmt;nb;uplo;n;lda;seedA;tsub;time;gflops;cudacore
0;dpotrf;23;1;1;1;0;2048;121;32768;32768;846930886;0.000000e+00;7.592764e+00;1.544716e+03;pcore
0;dpotrf;24;1;1;1;0;2048;121;32768;32768;846930886;0.000000e+00;8.336768e+00;1.406859e+03;nocuda
0;dpotrf;24;1;1;1;0;1250;121;32768;32768;846930886;0.000000e+00;9.957578e+00;1.177863e+03;nocuda
0;dpotrf;23;1;1;1;0;400;121;32768;32768;846930886;0.000000e+00;9.711418e+00;1.207719e+03;pcore
0;dpotrf;24;1;1;1;0;1024;121;32768;32768;846930886;0.000000e+00;9.701037e+00;1.209011e+03;nocuda
0;dpotrf;23;1;1;1;0;320;121;32768;32768;846930886;0.000000e+00;1.214208e+01;9.659518e+02;pcore
0;dpotrf;24;1;1;1;0;256;121;32768;32768;846930886;0.000000e+00;1.481698e+01;7.915687e+02;nocuda
0;dpotrf;23;1;1;1;0;800;121;32768;32768;846930886;0.000000e+00;7.719160e+00;1.519422e+03;pcore
0;dpotrf;24;1;1;1;0;1750;121;32768;32768;846930886;0.000000e+00;9.232611e+00;1.270351e+03;nocuda
0;dpotrf;23;1;1;1;0;128;121;32768;32768;846930886;0.000000e+00;3.249676e+01;3.609179e+02;pcore
0;dpotrf;23;1;1;1;0;1500;121;32768;32768;846930886;0.000000e+00;7.504167e+00;1.562953e+03;pcore
0;dpotrf;23;1;1;1;0;600;121;32768;32768;846930886;0.000000e+00;8.672493e+00;1.352398e+03;pcore
0;dpotrf;23;1;1;1;0;320;121;32768;32768;846930886;0.000000e+00;1.215660e+01;9.647980e+02;pcore
0;dpotrf;23;1;1;1;0;512;121;32768;32768;846930886;0.000000e+00;6.741457e+00;1.739781e+03;pcore
0;dpotrf;23;1;1;1;0;2048;121;32768;32768;846930886;0.000000e+00;7.574768e+00;1.548386e+03;pcore
0;dpotrf;24;1;1;1;0;400;121;32768;32768;846930886;0.000000e+00;1.341621e+01;8.742159e+02;nocuda
0;dpotrf;23;1;1;1;0;1750;121;32768;32768;846930886;0.000000e+00;8.653202e+00;1.355413e+03;pcore
0;dpotrf;24;1;1;1;0;2048;121;32768;32768;846930886;0.000000e+00;8.143913e+00;1.440175e+03;nocuda
0;dpotrf;24;1;1;1;0;600;121;32768;32768;846930886;0.000000e+00;1.245769e+01;9.414796e+02;nocuda
0;dpotrf;23;1;1;1;0;1500;121;32768;32768;846930886;0.000000e+00;7.438550e+00;1.576740e+03;pcore
0;dpotrf;24;1;1;1;0;600;121;32768;32768;846930886;0.000000e+00;1.231503e+01;9.523857e+02;nocuda
0;dpotrf;23;1;1;1;0;800;121;32768;32768;846930886;0.000000e+00;7.690930e+00;1.524999e+03;pcore
0;dpotrf;24;1;1;1;0;512;121;32768;32768;846930886;0.000000e+00;1.006720e+01;1.165037e+03;nocuda
0;dpotrf;23;1;1;1;0;1500;121;32768;32768;846930886;0.000000e+00;7.466038e+00;1.570935e+03;pcore
0;dpotrf;24;1;1;1;0;1024;121;32768;32768;846930886;0.000000e+00;9.645806e+00;1.215934e+03;nocuda
0;dpotrf;23;1;1;1;0;1750;121;32768;32768;846930886;0.000000e+00;8.600715e+00;1.363684e+03;pcore
0;dpotrf;24;1;1;1;0;400;121;32768;32768;846930886;0.000000e+00;1.340418e+01;8.750002e+02;nocuda
0;dpotrf;24;1;1;1;0;512;121;32768;32768;846930886;0.000000e+00;1.010898e+01;1.160222e+03;nocuda
