Id;Function;threads;gpus;P;Q;mtxfmt;nb;m;n;lda;seedA;bump;tsub;time;gflops
0;dgetrf_nopiv;7;1;1;1;0;1250;100000;100000;100000;846930886;1.000000e+05;0.000000e+00;5.871398e+02;1.135439e+03
0;dgetrf_nopiv;8;1;1;1;0;1250;100000;100000;100000;846930886;1.000000e+05;0.000000e+00;8.460572e+02;7.879629e+02
0;dgetrf_nopiv;8;1;1;1;0;1500;100000;100000;100000;846930886;1.000000e+05;0.000000e+00;7.301594e+02;9.130357e+02
0;dgetrf_nopiv;7;1;1;1;0;1024;100000;100000;100000;846930886;1.000000e+05;0.000000e+00;5.357363e+02;1.244384e+03
0;dgetrf_nopiv;8;1;1;1;0;1500;100000;100000;100000;846930886;1.000000e+05;0.000000e+00;7.295150e+02;9.138423e+02
0;dgetrf_nopiv;8;1;1;1;0;800;100000;100000;100000;846930886;1.000000e+05;0.000000e+00;1.172526e+03;5.685686e+02
0;dgetrf_nopiv;7;1;1;1;0;1250;100000;100000;100000;846930886;1.000000e+05;0.000000e+00;5.873872e+02;1.134961e+03
0;dgetrf_nopiv;8;1;1;1;0;1250;100000;100000;100000;846930886;1.000000e+05;0.000000e+00;8.459221e+02;7.880887e+02
0;dgetrf_nopiv;8;1;1;1;0;1500;100000;100000;100000;846930886;1.000000e+05;0.000000e+00;7.311646e+02;9.117805e+02
0;dgetrf_nopiv;7;1;1;1;0;800;100000;100000;100000;846930886;1.000000e+05;0.000000e+00;7.651706e+02;8.712589e+02
0;dgetrf_nopiv;8;1;1;1;0;800;100000;100000;100000;846930886;1.000000e+05;0.000000e+00;1.161281e+03;5.740744e+02
0;dgetrf_nopiv;7;1;1;1;0;1250;100000;100000;100000;846930886;1.000000e+05;0.000000e+00;5.860179e+02;1.137613e+03
0;dgetrf_nopiv;7;1;1;1;0;1500;100000;100000;100000;846930886;1.000000e+05;0.000000e+00;5.245119e+02;1.271013e+03
0;dgetrf_nopiv;7;1;1;1;0;1024;100000;100000;100000;846930886;1.000000e+05;0.000000e+00;5.386508e+02;1.237651e+03
0;dgetrf_nopiv;7;1;1;1;0;1024;100000;100000;100000;846930886;1.000000e+05;0.000000e+00;5.374792e+02;1.240349e+03
0;dgetrf_nopiv;8;1;1;1;0;1500;100000;100000;100000;846930886;1.000000e+05;0.000000e+00;7.290516e+02;9.144232e+02
