Id;Function;threads;gpus;P;Q;mtxfmt;nb;m;n;lda;seedA;bump;tsub;time;gflops
0;sgetrf_nopiv;8;1;1;1;0;2048;32768;32768;32768;846930886;0.000000e+00;0.000000e+00;4.418155e+00;5.308938e+03
0;sgetrf_nopiv;8;1;1;1;0;400;32768;32768;32768;846930886;0.000000e+00;0.000000e+00;1.393561e+01;1.683150e+03
0;sgetrf_nopiv;8;1;1;1;0;400;32768;32768;32768;846930886;0.000000e+00;0.000000e+00;1.331206e+01;1.761990e+03
0;sgetrf_nopiv;8;1;1;1;0;320;32768;32768;32768;846930886;0.000000e+00;0.000000e+00;2.549186e+01;9.201257e+02
0;sgetrf_nopiv;8;1;1;1;0;1500;32768;32768;32768;846930886;0.000000e+00;0.000000e+00;3.322500e+00;7.059656e+03
0;sgetrf_nopiv;7;1;1;1;0;128;32768;32768;32768;846930886;0.000000e+00;0.000000e+00;9.921671e+01;2.364089e+02
0;sgetrf_nopiv;7;1;1;1;0;1024;32768;32768;32768;846930886;0.000000e+00;0.000000e+00;1.115514e+00;2.102683e+04
0;sgetrf_nopiv;7;1;1;1;0;1500;32768;32768;32768;846930886;0.000000e+00;0.000000e+00;1.424468e+00;1.646629e+04
0;sgetrf_nopiv;7;1;1;1;0;512;32768;32768;32768;846930886;0.000000e+00;0.000000e+00;3.381714e+00;6.936042e+03
0;sgetrf_nopiv;8;1;1;1;0;256;32768;32768;32768;846930886;0.000000e+00;0.000000e+00;4.578268e+01;5.123272e+02
0;sgetrf_nopiv;8;1;1;1;0;1750;32768;32768;32768;846930886;0.000000e+00;0.000000e+00;2.932883e+00;7.997493e+03
0;sgetrf_nopiv;7;1;1;1;0;800;32768;32768;32768;846930886;0.000000e+00;0.000000e+00;1.428778e+00;1.641663e+04
0;sgetrf_nopiv;8;1;1;1;0;400;32768;32768;32768;846930886;0.000000e+00;0.000000e+00;1.360628e+01;1.723888e+03
0;sgetrf_nopiv;7;1;1;1;0;320;32768;32768;32768;846930886;0.000000e+00;0.000000e+00;1.605620e+01;1.460851e+03
0;sgetrf_nopiv;8;1;1;1;0;1500;32768;32768;32768;846930886;0.000000e+00;0.000000e+00;2.943193e+00;7.969477e+03
0;sgetrf_nopiv;7;1;1;1;0;256;32768;32768;32768;846930886;0.000000e+00;0.000000e+00;3.252614e+01;7.211342e+02
0;sgetrf_nopiv;7;1;1;1;0;2048;32768;32768;32768;846930886;0.000000e+00;0.000000e+00;2.217760e+00;1.057631e+04
0;sgetrf_nopiv;8;1;1;1;0;400;32768;32768;32768;846930886;0.000000e+00;0.000000e+00;1.290872e+01;1.817045e+03
0;sgetrf_nopiv;7;1;1;1;0;2048;32768;32768;32768;846930886;0.000000e+00;0.000000e+00;2.220348e+00;1.056398e+04
0;sgetrf_nopiv;8;1;1;1;0;512;32768;32768;32768;846930886;0.000000e+00;0.000000e+00;6.769354e+00;3.464985e+03
0;sgetrf_nopiv;7;1;1;1;0;1750;32768;32768;32768;846930886;0.000000e+00;0.000000e+00;1.647536e+00;1.423684e+04
0;sgetrf_nopiv;7;1;1;1;0;320;32768;32768;32768;846930886;0.000000e+00;0.000000e+00;1.641616e+01;1.428818e+03
0;sgetrf_nopiv;7;1;1;1;0;1024;32768;32768;32768;846930886;0.000000e+00;0.000000e+00;1.117167e+00;2.099571e+04
0;sgetrf_nopiv;7;1;1;1;0;320;32768;32768;32768;846930886;0.000000e+00;0.000000e+00;1.606852e+01;1.459731e+03
0;sgetrf_nopiv;8;1;1;1;0;128;32768;32768;32768;846930886;0.000000e+00;0.000000e+00;2.072352e+02;1.131840e+02
0;sgetrf_nopiv;7;1;1;1;0;1500;32768;32768;32768;846930886;0.000000e+00;0.000000e+00;1.424956e+00;1.646066e+04
0;sgetrf_nopiv;8;1;1;1;0;128;32768;32768;32768;846930886;0.000000e+00;0.000000e+00;1.830135e+02;1.281639e+02
0;sgetrf_nopiv;7;1;1;1;0;600;32768;32768;32768;846930886;0.000000e+00;0.000000e+00;2.559569e+00;9.163929e+03
0;sgetrf_nopiv;7;1;1;1;0;600;32768;32768;32768;846930886;0.000000e+00;0.000000e+00;2.527362e+00;9.280707e+03
0;sgetrf_nopiv;8;1;1;1;0;400;32768;32768;32768;846930886;0.000000e+00;0.000000e+00;1.321924e+01;1.774361e+03
0;sgetrf_nopiv;8;1;1;1;0;800;32768;32768;32768;846930886;0.000000e+00;0.000000e+00;3.075630e+00;7.626311e+03
0;sgetrf_nopiv;7;1;1;1;0;400;32768;32768;32768;846930886;0.000000e+00;0.000000e+00;7.577105e+00;3.095603e+03
0;sgetrf_nopiv;8;1;1;1;0;800;32768;32768;32768;846930886;0.000000e+00;0.000000e+00;3.125750e+00;7.504027e+03
0;sgetrf_nopiv;8;1;1;1;0;128;32768;32768;32768;846930886;0.000000e+00;0.000000e+00;2.045251e+02;1.146838e+02
0;sgetrf_nopiv;7;1;1;1;0;512;32768;32768;32768;846930886;0.000000e+00;0.000000e+00;3.220486e+00;7.283283e+03
0;sgetrf_nopiv;8;1;1;1;0;1024;32768;32768;32768;846930886;0.000000e+00;0.000000e+00;2.560745e+00;9.159721e+03
0;sgetrf_nopiv;7;1;1;1;0;2048;32768;32768;32768;846930886;0.000000e+00;0.000000e+00;2.217043e+00;1.057973e+04
0;sgetrf_nopiv;7;1;1;1;0;400;32768;32768;32768;846930886;0.000000e+00;0.000000e+00;6.854773e+00;3.421807e+03
0;sgetrf_nopiv;8;1;1;1;0;256;32768;32768;32768;846930886;0.000000e+00;0.000000e+00;4.399268e+01;5.331731e+02
0;sgetrf_nopiv;7;1;1;1;0;128;32768;32768;32768;846930886;0.000000e+00;0.000000e+00;9.997575e+01;2.346140e+02
0;sgetrf_nopiv;8;1;1;1;0;600;32768;32768;32768;846930886;0.000000e+00;0.000000e+00;5.238119e+00;4.477888e+03
0;sgetrf_nopiv;8;1;1;1;0;1024;32768;32768;32768;846930886;0.000000e+00;0.000000e+00;2.640189e+00;8.884102e+03
0;sgetrf_nopiv;7;1;1;1;0;256;32768;32768;32768;846930886;0.000000e+00;0.000000e+00;3.334264e+01;7.034749e+02
0;sgetrf_nopiv;8;1;1;1;0;256;32768;32768;32768;846930886;0.000000e+00;0.000000e+00;4.389038e+01;5.344157e+02
0;sgetrf_nopiv;7;1;1;1;0;512;32768;32768;32768;846930886;0.000000e+00;0.000000e+00;3.329631e+00;7.044538e+03
0;sgetrf_nopiv;7;1;1;1;0;256;32768;32768;32768;846930886;0.000000e+00;0.000000e+00;3.398805e+01;6.901165e+02
0;sgetrf_nopiv;8;1;1;1;0;256;32768;32768;32768;846930886;0.000000e+00;0.000000e+00;4.394859e+01;5.337080e+02
0;sgetrf_nopiv;8;1;1;1;0;800;32768;32768;32768;846930886;0.000000e+00;0.000000e+00;3.039652e+00;7.716577e+03
0;sgetrf_nopiv;8;1;1;1;0;600;32768;32768;32768;846930886;0.000000e+00;0.000000e+00;5.100725e+00;4.598505e+03
0;sgetrf_nopiv;7;1;1;1;0;1024;32768;32768;32768;846930886;0.000000e+00;0.000000e+00;1.119390e+00;2.095401e+04
0;sgetrf_nopiv;7;1;1;1;0;1024;32768;32768;32768;846930886;0.000000e+00;0.000000e+00;1.115065e+00;2.103529e+04
0;sgetrf_nopiv;8;1;1;1;0;1500;32768;32768;32768;846930886;0.000000e+00;0.000000e+00;2.883709e+00;8.133868e+03
0;sgetrf_nopiv;7;1;1;1;0;2048;32768;32768;32768;846930886;0.000000e+00;0.000000e+00;2.218364e+00;1.057343e+04
0;sgetrf_nopiv;7;1;1;1;0;320;32768;32768;32768;846930886;0.000000e+00;0.000000e+00;1.720289e+01;1.363475e+03
0;sgetrf_nopiv;7;1;1;1;0;1750;32768;32768;32768;846930886;0.000000e+00;0.000000e+00;1.645283e+00;1.425634e+04
0;sgetrf_nopiv;7;1;1;1;0;1500;32768;32768;32768;846930886;0.000000e+00;0.000000e+00;1.425092e+00;1.645909e+04
0;sgetrf_nopiv;7;1;1;1;0;320;32768;32768;32768;846930886;0.000000e+00;0.000000e+00;1.455540e+01;1.611478e+03
0;sgetrf_nopiv;8;1;1;1;0;128;32768;32768;32768;846930886;0.000000e+00;0.000000e+00;2.056238e+02;1.140710e+02
0;sgetrf_nopiv;8;1;1;1;0;1750;32768;32768;32768;846930886;0.000000e+00;0.000000e+00;3.385477e+00;6.928333e+03
0;sgetrf_nopiv;8;1;1;1;0;512;32768;32768;32768;846930886;0.000000e+00;0.000000e+00;6.768577e+00;3.465383e+03
0;sgetrf_nopiv;7;1;1;1;0;1500;32768;32768;32768;846930886;0.000000e+00;0.000000e+00;1.425042e+00;1.645966e+04
0;sgetrf_nopiv;7;1;1;1;0;256;32768;32768;32768;846930886;0.000000e+00;0.000000e+00;3.349062e+01;7.003667e+02
0;sgetrf_nopiv;8;1;1;1;0;1750;32768;32768;32768;846930886;0.000000e+00;0.000000e+00;3.325520e+00;7.053247e+03
0;sgetrf_nopiv;7;1;1;1;0;1250;32768;32768;32768;846930886;0.000000e+00;0.000000e+00;1.273479e+00;1.841861e+04
0;sgetrf_nopiv;7;1;1;1;0;1750;32768;32768;32768;846930886;0.000000e+00;0.000000e+00;1.648015e+00;1.423271e+04
0;sgetrf_nopiv;8;1;1;1;0;1500;32768;32768;32768;846930886;0.000000e+00;0.000000e+00;2.825964e+00;8.300075e+03
