Id;Function;threads;gpus;P;Q;mtxfmt;nb;uplo;n;lda;seedA;tsub;time;gflops
0;spotrf;7;1;1;1;0;512;121;32768;32768;846930886;0.000000e+00;1.898107e+00;6.179136e+03
0;spotrf;7;1;1;1;0;128;121;32768;32768;846930886;0.000000e+00;5.177168e+01;2.265459e+02
0;spotrf;8;1;1;1;0;600;121;32768;32768;846930886;0.000000e+00;3.008089e+00;3.899040e+03
0;spotrf;7;1;1;1;0;400;121;32768;32768;846930886;0.000000e+00;4.792803e+00;2.447140e+03
0;spotrf;8;1;1;1;0;2048;121;32768;32768;846930886;0.000000e+00;2.379456e+00;4.929135e+03
0;spotrf;7;1;1;1;0;600;121;32768;32768;846930886;0.000000e+00;1.328420e+00;8.829028e+03
0;spotrf;7;1;1;1;0;1500;121;32768;32768;846930886;0.000000e+00;6.928869e-01;1.692724e+04
0;spotrf;8;1;1;1;0;512;121;32768;32768;846930886;0.000000e+00;4.102179e+00;2.859130e+03
0;spotrf;8;1;1;1;0;320;121;32768;32768;846930886;0.000000e+00;1.337314e+01;8.770311e+02
0;spotrf;8;1;1;1;0;800;121;32768;32768;846930886;0.000000e+00;1.675549e+00;6.999890e+03
0;spotrf;8;1;1;1;0;800;121;32768;32768;846930886;0.000000e+00;1.730913e+00;6.775996e+03
0;spotrf;7;1;1;1;0;320;121;32768;32768;846930886;0.000000e+00;9.448976e+00;1.241263e+03
0;spotrf;7;1;1;1;0;800;121;32768;32768;846930886;0.000000e+00;7.451917e-01;1.573912e+04
0;spotrf;8;1;1;1;0;400;121;32768;32768;846930886;0.000000e+00;7.432004e+00;1.578129e+03
0;spotrf;8;1;1;1;0;1024;121;32768;32768;846930886;0.000000e+00;1.265747e+00;9.266198e+03
0;spotrf;8;1;1;1;0;320;121;32768;32768;846930886;0.000000e+00;1.357046e+01;8.642785e+02
0;spotrf;8;1;1;1;0;600;121;32768;32768;846930886;0.000000e+00;3.094671e+00;3.789954e+03
0;spotrf;7;1;1;1;0;600;121;32768;32768;846930886;0.000000e+00;1.398356e+00;8.387465e+03
0;spotrf;8;1;1;1;0;128;121;32768;32768;846930886;0.000000e+00;5.906969e+01;1.985563e+02
0;spotrf;7;1;1;1;0;800;121;32768;32768;846930886;0.000000e+00;7.503082e-01;1.563179e+04
0;spotrf;7;1;1;1;0;1250;121;32768;32768;846930886;0.000000e+00;6.445425e-01;1.819688e+04
0;spotrf;7;1;1;1;0;256;121;32768;32768;846930886;0.000000e+00;1.636874e+01;7.165281e+02
0;spotrf;8;1;1;1;0;600;121;32768;32768;846930886;0.000000e+00;2.880131e+00;4.072267e+03
0;spotrf;7;1;1;1;0;1750;121;32768;32768;846930886;0.000000e+00;8.778343e-01;1.336091e+04
0;spotrf;8;1;1;1;0;1500;121;32768;32768;846930886;0.000000e+00;1.533555e+00;7.648019e+03
0;spotrf;8;1;1;1;0;1250;121;32768;32768;846930886;0.000000e+00;1.502433e+00;7.806446e+03
0;spotrf;7;1;1;1;0;600;121;32768;32768;846930886;0.000000e+00;1.377079e+00;8.517056e+03
0;spotrf;8;1;1;1;0;128;121;32768;32768;846930886;0.000000e+00;5.904769e+01;1.986303e+02
0;spotrf;7;1;1;1;0;1750;121;32768;32768;846930886;0.000000e+00;8.754877e-01;1.339672e+04
0;spotrf;8;1;1;1;0;1750;121;32768;32768;846930886;0.000000e+00;1.944765e+00;6.030888e+03
0;spotrf;7;1;1;1;0;512;121;32768;32768;846930886;0.000000e+00;1.903703e+00;6.160973e+03
0;spotrf;8;1;1;1;0;1250;121;32768;32768;846930886;0.000000e+00;1.495581e+00;7.842210e+03
0;spotrf;7;1;1;1;0;1024;121;32768;32768;846930886;0.000000e+00;5.492565e-01;2.135371e+04
0;spotrf;7;1;1;1;0;1500;121;32768;32768;846930886;0.000000e+00;6.925911e-01;1.693447e+04
0;spotrf;7;1;1;1;0;400;121;32768;32768;846930886;0.000000e+00;4.492069e+00;2.610971e+03
0;spotrf;7;1;1;1;0;256;121;32768;32768;846930886;0.000000e+00;1.623054e+01;7.226293e+02
0;spotrf;7;1;1;1;0;800;121;32768;32768;846930886;0.000000e+00;7.488752e-01;1.566170e+04
0;spotrf;8;1;1;1;0;1750;121;32768;32768;846930886;0.000000e+00;1.961968e+00;5.978008e+03
0;spotrf;7;1;1;1;0;128;121;32768;32768;846930886;0.000000e+00;5.078867e+01;2.309307e+02
0;spotrf;8;1;1;1;0;1250;121;32768;32768;846930886;0.000000e+00;1.480279e+00;7.923279e+03
0;spotrf;8;1;1;1;0;320;121;32768;32768;846930886;0.000000e+00;1.308355e+01;8.964430e+02
0;spotrf;8;1;1;1;0;1024;121;32768;32768;846930886;0.000000e+00;1.273310e+00;9.211155e+03
0;spotrf;7;1;1;1;0;1250;121;32768;32768;846930886;0.000000e+00;6.430734e-01;1.823845e+04
0;spotrf;8;1;1;1;0;256;121;32768;32768;846930886;0.000000e+00;2.099787e+01;5.585644e+02
0;spotrf;8;1;1;1;0;128;121;32768;32768;846930886;0.000000e+00;5.489431e+01;2.136590e+02
0;spotrf;7;1;1;1;0;320;121;32768;32768;846930886;0.000000e+00;9.070202e+00;1.293098e+03
0;spotrf;7;1;1;1;0;1500;121;32768;32768;846930886;0.000000e+00;6.941068e-01;1.689749e+04
0;spotrf;7;1;1;1;0;1500;121;32768;32768;846930886;0.000000e+00;6.916036e-01;1.695865e+04
0;spotrf;8;1;1;1;0;600;121;32768;32768;846930886;0.000000e+00;3.019055e+00;3.884878e+03
0;spotrf;7;1;1;1;0;1024;121;32768;32768;846930886;0.000000e+00;5.465209e-01;2.146059e+04
0;spotrf;7;1;1;1;0;512;121;32768;32768;846930886;0.000000e+00;1.938935e+00;6.049021e+03
0;spotrf;7;1;1;1;0;2048;121;32768;32768;846930886;0.000000e+00;1.147450e+00;1.022150e+04
0;spotrf;8;1;1;1;0;256;121;32768;32768;846930886;0.000000e+00;2.077521e+01;5.645509e+02
0;spotrf;8;1;1;1;0;600;121;32768;32768;846930886;0.000000e+00;2.909834e+00;4.030698e+03
0;spotrf;7;1;1;1;0;1024;121;32768;32768;846930886;0.000000e+00;5.463588e-01;2.146696e+04
0;spotrf;7;1;1;1;0;512;121;32768;32768;846930886;0.000000e+00;1.913223e+00;6.130316e+03
0;spotrf;7;1;1;1;0;1750;121;32768;32768;846930886;0.000000e+00;8.759006e-01;1.339040e+04
0;spotrf;7;1;1;1;0;1750;121;32768;32768;846930886;0.000000e+00;8.757704e-01;1.339239e+04
0;spotrf;8;1;1;1;0;1024;121;32768;32768;846930886;0.000000e+00;1.273235e+00;9.211702e+03
0;spotrf;7;1;1;1;0;1250;121;32768;32768;846930886;0.000000e+00;6.444681e-01;1.819898e+04
0;spotrf;8;1;1;1;0;800;121;32768;32768;846930886;0.000000e+00;1.700284e+00;6.898061e+03
0;spotrf;8;1;1;1;0;2048;121;32768;32768;846930886;0.000000e+00;2.361549e+00;4.966512e+03
0;spotrf;7;1;1;1;0;320;121;32768;32768;846930886;0.000000e+00;9.127112e+00;1.285035e+03
0;spotrf;7;1;1;1;0;600;121;32768;32768;846930886;0.000000e+00;1.392778e+00;8.421057e+03
0;spotrf;7;1;1;1;0;2048;121;32768;32768;846930886;0.000000e+00;1.148128e+00;1.021546e+04
0;spotrf;8;1;1;1;0;320;121;32768;32768;846930886;0.000000e+00;1.344500e+01;8.723438e+02
0;spotrf;8;1;1;1;0;1500;121;32768;32768;846930886;0.000000e+00;1.565074e+00;7.494000e+03
0;spotrf;8;1;1;1;0;320;121;32768;32768;846930886;0.000000e+00;1.348576e+01;8.697071e+02
0;spotrf;7;1;1;1;0;2048;121;32768;32768;846930886;0.000000e+00;1.147336e+00;1.022251e+04
0;spotrf;7;1;1;1;0;1500;121;32768;32768;846930886;0.000000e+00;6.943444e-01;1.689171e+04
0;spotrf;8;1;1;1;0;2048;121;32768;32768;846930886;0.000000e+00;2.447450e+00;4.792196e+03
0;spotrf;7;1;1;1;0;512;121;32768;32768;846930886;0.000000e+00;1.911823e+00;6.134805e+03
0;spotrf;8;1;1;1;0;1500;121;32768;32768;846930886;0.000000e+00;1.683226e+00;6.967967e+03
0;spotrf;8;1;1;1;0;400;121;32768;32768;846930886;0.000000e+00;8.028413e+00;1.460894e+03
0;spotrf;8;1;1;1;0;256;121;32768;32768;846930886;0.000000e+00;2.102397e+01;5.578709e+02
