Id;Function;threads;gpus;P;Q;mtxfmt;nb;uplo;n;lda;seedA;tsub;time;gflops
0;spotrf;8;0;1;1;0;1250;121;32768;32768;846930886;0.000000e+00;2.525043e+01;4.644935e+02
0;spotrf;8;0;1;1;0;512;121;32768;32768;846930886;0.000000e+00;2.726263e+01;4.302102e+02
0;spotrf;8;0;1;1;0;128;121;32768;32768;846930886;0.000000e+00;4.372797e+01;2.682187e+02
0;spotrf;8;0;1;1;0;1500;121;32768;32768;846930886;0.000000e+00;2.490129e+01;4.710061e+02
0;spotrf;8;0;1;1;0;1500;121;32768;32768;846930886;0.000000e+00;2.494866e+01;4.701119e+02
0;spotrf;8;0;1;1;0;512;121;32768;32768;846930886;0.000000e+00;2.726451e+01;4.301805e+02
0;spotrf;8;0;1;1;0;128;121;32768;32768;846930886;0.000000e+00;4.795539e+01;2.445744e+02
0;spotrf;8;0;1;1;0;1500;121;32768;32768;846930886;0.000000e+00;2.493012e+01;4.704614e+02
0;spotrf;8;0;1;1;0;2048;121;32768;32768;846930886;0.000000e+00;2.682375e+01;4.372491e+02
0;spotrf;8;0;1;1;0;128;121;32768;32768;846930886;0.000000e+00;4.815191e+01;2.435762e+02
0;spotrf;8;0;1;1;0;1250;121;32768;32768;846930886;0.000000e+00;2.526512e+01;4.642235e+02
0;spotrf;8;0;1;1;0;320;121;32768;32768;846930886;0.000000e+00;2.806011e+01;4.179835e+02
0;spotrf;8;0;1;1;0;600;121;32768;32768;846930886;0.000000e+00;2.609276e+01;4.494987e+02
0;spotrf;8;0;1;1;0;1024;121;32768;32768;846930886;0.000000e+00;2.674824e+01;4.384834e+02
0;spotrf;8;0;1;1;0;128;121;32768;32768;846930886;0.000000e+00;4.925501e+01;2.381212e+02
0;spotrf;8;0;1;1;0;1500;121;32768;32768;846930886;0.000000e+00;2.487955e+01;4.714178e+02
0;spotrf;8;0;1;1;0;1024;121;32768;32768;846930886;0.000000e+00;2.674433e+01;4.385475e+02
0;spotrf;8;0;1;1;0;2048;121;32768;32768;846930886;0.000000e+00;2.662827e+01;4.404589e+02
0;spotrf;8;0;1;1;0;1250;121;32768;32768;846930886;0.000000e+00;2.524793e+01;4.645395e+02
0;spotrf;8;0;1;1;0;1750;121;32768;32768;846930886;0.000000e+00;2.513399e+01;4.666453e+02
0;spotrf;8;0;1;1;0;1024;121;32768;32768;846930886;0.000000e+00;2.673445e+01;4.387097e+02
0;spotrf;8;0;1;1;0;320;121;32768;32768;846930886;0.000000e+00;2.809283e+01;4.174966e+02
0;spotrf;8;0;1;1;0;512;121;32768;32768;846930886;0.000000e+00;2.726552e+01;4.301646e+02
0;spotrf;8;0;1;1;0;1250;121;32768;32768;846930886;0.000000e+00;2.526233e+01;4.642747e+02
0;spotrf;8;0;1;1;0;320;121;32768;32768;846930886;0.000000e+00;2.805758e+01;4.180212e+02
0;spotrf;8;0;1;1;0;1750;121;32768;32768;846930886;0.000000e+00;2.514684e+01;4.664070e+02
0;spotrf;8;0;1;1;0;1750;121;32768;32768;846930886;0.000000e+00;2.532899e+01;4.630529e+02
0;spotrf;8;0;1;1;0;1750;121;32768;32768;846930886;0.000000e+00;2.524984e+01;4.645044e+02
0;spotrf;8;0;1;1;0;1500;121;32768;32768;846930886;0.000000e+00;2.496069e+01;4.698853e+02
0;spotrf;8;0;1;1;0;256;121;32768;32768;846930886;0.000000e+00;2.991172e+01;3.921093e+02
0;spotrf;8;0;1;1;0;320;121;32768;32768;846930886;0.000000e+00;2.805451e+01;4.180668e+02
0;spotrf;8;0;1;1;0;800;121;32768;32768;846930886;0.000000e+00;2.558792e+01;4.583670e+02
0;spotrf;8;0;1;1;0;800;121;32768;32768;846930886;0.000000e+00;2.560012e+01;4.581487e+02
0;spotrf;8;0;1;1;0;1250;121;32768;32768;846930886;0.000000e+00;2.525065e+01;4.644894e+02
0;spotrf;8;0;1;1;0;400;121;32768;32768;846930886;0.000000e+00;2.725425e+01;4.303424e+02
0;spotrf;8;0;1;1;0;320;121;32768;32768;846930886;0.000000e+00;2.804252e+01;4.182456e+02
0;spotrf;8;0;1;1;0;400;121;32768;32768;846930886;0.000000e+00;2.725161e+01;4.303842e+02
0;spotrf;8;0;1;1;0;1750;121;32768;32768;846930886;0.000000e+00;2.523928e+01;4.646988e+02
0;spotrf;8;0;1;1;0;128;121;32768;32768;846930886;0.000000e+00;4.940273e+01;2.374091e+02
0;spotrf;8;0;1;1;0;800;121;32768;32768;846930886;0.000000e+00;2.558442e+01;4.584298e+02
0;spotrf;8;0;1;1;0;512;121;32768;32768;846930886;0.000000e+00;2.725009e+01;4.304081e+02
0;spotrf;8;0;1;1;0;1024;121;32768;32768;846930886;0.000000e+00;2.673396e+01;4.387176e+02
0;spotrf;8;0;1;1;0;400;121;32768;32768;846930886;0.000000e+00;2.725098e+01;4.303942e+02
0;spotrf;8;0;1;1;0;256;121;32768;32768;846930886;0.000000e+00;2.989071e+01;3.923849e+02
0;spotrf;8;0;1;1;0;256;121;32768;32768;846930886;0.000000e+00;2.988958e+01;3.923997e+02
0;spotrf;8;0;1;1;0;512;121;32768;32768;846930886;0.000000e+00;2.725792e+01;4.302845e+02
0;spotrf;8;0;1;1;0;1500;121;32768;32768;846930886;0.000000e+00;2.488793e+01;4.712590e+02
0;spotrf;8;0;1;1;0;1024;121;32768;32768;846930886;0.000000e+00;2.672439e+01;4.388747e+02
0;spotrf;8;0;1;1;0;400;121;32768;32768;846930886;0.000000e+00;2.727052e+01;4.300857e+02
0;spotrf;8;0;1;1;0;600;121;32768;32768;846930886;0.000000e+00;2.609322e+01;4.494908e+02
0;spotrf;8;0;1;1;0;800;121;32768;32768;846930886;0.000000e+00;2.559064e+01;4.583184e+02
0;spotrf;8;0;1;1;0;128;121;32768;32768;846930886;0.000000e+00;4.790535e+01;2.448299e+02
0;spotrf;8;0;1;1;0;1750;121;32768;32768;846930886;0.000000e+00;2.515265e+01;4.662993e+02
0;spotrf;8;0;1;1;0;2048;121;32768;32768;846930886;0.000000e+00;2.658314e+01;4.412068e+02
0;spotrf;8;0;1;1;0;600;121;32768;32768;846930886;0.000000e+00;2.608085e+01;4.497039e+02
0;spotrf;8;0;1;1;0;1250;121;32768;32768;846930886;0.000000e+00;2.525657e+01;4.643807e+02
0;spotrf;8;0;1;1;0;256;121;32768;32768;846930886;0.000000e+00;2.994267e+01;3.917039e+02
0;spotrf;8;0;1;1;0;600;121;32768;32768;846930886;0.000000e+00;2.610682e+01;4.492567e+02
0;spotrf;8;0;1;1;0;512;121;32768;32768;846930886;0.000000e+00;2.728228e+01;4.299003e+02
0;spotrf;8;0;1;1;0;256;121;32768;32768;846930886;0.000000e+00;2.987922e+01;3.925357e+02
0;spotrf;8;0;1;1;0;2048;121;32768;32768;846930886;0.000000e+00;2.665732e+01;4.399789e+02
0;spotrf;8;0;1;1;0;800;121;32768;32768;846930886;0.000000e+00;2.559117e+01;4.583089e+02
0;spotrf;8;0;1;1;0;600;121;32768;32768;846930886;0.000000e+00;2.607565e+01;4.497937e+02
0;spotrf;8;0;1;1;0;1024;121;32768;32768;846930886;0.000000e+00;2.672167e+01;4.389195e+02
0;spotrf;8;0;1;1;0;600;121;32768;32768;846930886;0.000000e+00;2.609125e+01;4.495246e+02
0;spotrf;8;0;1;1;0;2048;121;32768;32768;846930886;0.000000e+00;2.658702e+01;4.411423e+02
0;spotrf;8;0;1;1;0;400;121;32768;32768;846930886;0.000000e+00;2.724987e+01;4.304117e+02
